type_transaction,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,10900000,peugeot 3008 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,3008,2018
Vente,13500000,mitsubishi eclipse cross  2019,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Eclipse cross,2019
Vente,4350000,kia rio berline 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Rio berline,2015
Vente,3400000,toyota verossa 2002,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Toyota,Verossa,2002
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,25000000,toyota land cruiser 2015 ,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Land cruiser,2015
Vente,9500000,mazda cx-5 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2016
Vente,12800000,honda cr-v 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Honda,Cr-v,2018
Vente,15500000,toyota hi-ace 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Hi-ace,2019
Vente,11500000,mercedes-benz c30 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,2600000,honda accord 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Accord,2006
Vente,6500000,toyota prado  2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Prado,2003
Vente,3500000,toyota obama  1995,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Toyota,Obama,1995
Vente,9900000,mercedes-benz c-class 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,8500000,hyundai sonata 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Sonata,2017
Vente,5500000,mitsubishi  did,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mitsubishi,Mitsubishi,inco
Vente,10800000,kia sportage 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2017
Vente,13900000,mitsubishi eclipse 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Eclipse,2019
Vente,9800000,toyota hilux 2016,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Hilux,2016
Vente,5800000,ford escape 2016 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Escape,2016
Vente,5800000,ford escape 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Escape,2016
Vente,7900000,mitsubishi  l200 2017,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mitsubishi,L200,2017
Vente,10800000,dodge charger 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Dodge,Charger,2019
Vente,9500000,rover range rover 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Range rover,Range rover,2018
Vente,7600000,toyota hilux 2011,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Hilux,2011
Vente,7900000,mitsubishi outlander 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Outlander,2015
Vente,4600000,mercedes-benz c200 2003,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mercedes,Benz,2003
Vente,2800000,bmw e46 2010,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Bmw,Bmw e46,2010
Vente,20000000,jeep wrangler sahara 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Jeep,Wrangler sahara,2018
Vente,4500000,toyota obama phase 2  2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Obama,2006
Vente,28000000,mercedes-benz glc  43 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2018
