type_transaction,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,5800000,mitsubishi outlander 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Outlander,2013
Vente,10900000,peugeot 3008  2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,3008,2018
Vente,6800000,renault koleos 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Koleos,2014
Vente,9500000,toyota c-hr hybrid 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,C-hr hybrid,2017
Vente,14500000,toyota land cruiser prado 7 places boite auto 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,2300000,peugeot 406 phase 2 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Peugeot,Peugeot 406,inco
Vente,10000000,hyundai santa fe 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2017
Vente,14900000,mazda cx-9 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2019
Vente,4950000,hyundai tucson 2007,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2007
Vente,7500000,toyota highlander 2010,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Highlander,2010
Vente,14500000,toyota land cruiser prado 7 places boite auto 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,3850000,mercedes c280- 4 matic 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,C280- 4 matic,2008
Vente,8500000,mercedes benz c300 2014,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mercedes,Benz,2014
Vente,8800000,kia sportage 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2017
Vente,5950000,bmw x6 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X6,2005
Vente,8950000,chevrolet equinox 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Chevrolet,Equinox,2019
Vente,10500000,kia sportage  2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2019
Vente,8950000,chevrolet equinox 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Chevrolet,Equinox,2019
Vente,3600000,volkswagen golf polo 2004 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Volkswagen,Golf polo,2004
Vente,12900000,audi q5 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,Q5,2016
Vente,7900000,kia forte 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Forte,2018
Vente,14000000,mitsubishi eclipse 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Eclipse,2019
Vente,15500000,land rover discovery 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Land,Rover discovery,2019
Vente,6800000,mazda 3 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2018
Vente,38000000,land rover velar 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Land,Rover velar,2019
Vente,3300000, citroën  2006 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Citroën,Citroën,2006
Vente,10800000,honda cr-v 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v,2016
Vente,18500000,acura rdx 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Acura,Rdx,2019
Vente,16500000,toyota land cruiser 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,33000000,mercedes-benz gl 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,12500000,hyundai sonata sport full option  2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Sonata sport full option,2019
Vente,12900000,audi q5 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,Q5,2016
Vente,9800000,suzuki vitara 2018 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2018
Vente,6700000,hyundai accent 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Accent,2017
Vente,8500000,hyundai elantra gt 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Elantra gt,2017
Vente,14500000,mazda cx5 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mazda,Mazda,2018
Vente,7800000,hyundai elantra 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2019
Vente,8900000,hyundai elantra 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2018
Vente,3900000,toyota corolla 2000,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2000
Vente,13000000,mazda cx-5 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2018
Vente,18800000,toyota land cruiser 2015 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2015
Vente,2900000,peugeot 206 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,206,2012
Vente,8900000,kia sportage 2012 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2012
Vente,10800000,honda cr-v 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v,2015
Vente,4800000,mercedes benz c230 2000,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2000
Vente,12500000,hyundai santa fe limited 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe limited,2018
Vente,6900000,mercedes-benz c300 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2008
Vente,7200000,nissan qashqai 2007 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Qashqai,2007
Vente,5900000,renault symbol 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Symbol,2012
Vente,8900000,suzuki grand vitara 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2019
Vente,6800000,nissan navara 2015,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Nissan,Navara,2015
Vente,17500000,kia sorento 2019,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Kia,Sorento,2019
Vente,9900000,hyundai santa fe limited  2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe limited,2019
Vente,9700000,hyundai elantra 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2019
Vente,8300000,kia sorento 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sorento,2014
Vente,14800000,honda cr-v5 touring 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v5 touring,2017
Vente,7900000,hyundai tucson  2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2012
Vente,12900000,hyundai h1 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,H1,2019
Vente,6300000,kia morning 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Morning,2017
Vente,12800000,mazda cx-5 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2019
Vente,9700000,volkswagen tiguan 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Tiguan,2017
Vente,6500000,renault duster 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Duster,2015
Vente,4300000,bmw e46 2002,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,Bmw e46,2002
Vente,15500000,mitsubishi pajero 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Pajero,2018
Vente,35000000,bmw 730 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,730,2018
Vente,20000000,jeep wrangler 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Jeep,Wrangler,2018
Vente,12500000,hyundai tucson 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2018
Vente,16500000,bmw série 4 430i gran coupe 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,Bmw,2018
Vente,5400000,hyundai tucson 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2005
Vente,3300000,citroen c4 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Citroen,C4,2006
Vente,35000000,bmw 730 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Bmw,730,2018
Vente,5500000,hyundai tucson 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2006
Vente,9000000,hyundai santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2018
Vente,1350000,peugeot 406 2000,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,Peugeot 406,2000
Vente,13900000,mitsubishi eclipse 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Eclipse,2019
Vente,14700000,toyota land cruiser 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2012
Vente,16900000,jeep wrangler 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Jeep,Wrangler,2019
Vente,6900000,renault koleos 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Koleos,2014
Vente,13000000,mitsubishi l200 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,L200,2019
Vente,16500000,mitsubishi pajero 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Pajero,2019
Vente,11500000,mercedes-benz c400 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,5800000,ford fusion 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Fusion,2016
Vente,3800000,mercedes-benz c240 kompressor 2002,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2002
Vente,12800000,mitsubishi eclipse 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Eclipse,2019
Vente,1500000,mitsubishi carisma 2001,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Carisma,2001
Vente,8800000,suzuki vitara 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2019
Vente,12900000,honda cr-v 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v,2018
Vente,3000000,toyota corolla eto'o  2001,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2001
Vente,3300000,ford focus,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Ford,inco
Vente,2000000,peugeot 407 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,Peugeot 407,inco
Vente,17500000,mitsubishi pajero 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mitsubishi,Pajero,2018
Vente,35000000,mercedes benz glc 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2018
Vente,10500000,hyundai santa fe 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2017
Vente,3300000,mercedes-benz c200 2004,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2004
Vente,11950000,hyundai tucson 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2018
Vente,6800000,kia rio 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Rio,2016
Vente,3750000,toyota verso 2002,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Verso,2002
Vente,12500000,mercedes-benz gla-class 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,13500000,hyundai santa fe 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Santa fe,2018
Vente,50000000, range rover sport svr 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Range rover,2017
Vente,7800000,hyundai elantra 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Elantra,2018
Vente,7300000,hyundai sonata 2016,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Sonata,2016
Vente,8800000,mercedes benz c300 2013,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2013
Vente,10500000,mazda bt-50 2017,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mazda,Mazda,2017
Vente,39500000,range rover velar p380 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Rover velar p380,2019
Vente,7800000,mazda 3 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mazda,Mazda,2018
Vente,6800000,renault oroch  2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Renault,Oroch,2018
Vente,7900000,hyundai ix35 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Ix35,2013
Vente,12500000,mercedes-benz ml350  2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2014
Vente,35000000,mercedes benz gle63s 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2017
Vente,15500000,ac range rover évoque  2019,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Range rover,2019
Vente,23500000,mercedes-benz glc 300 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2019
Vente,3800000,toyota avensis 2003,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Avensis,2003
Vente,6400000,citroen c4 2013 ,"Abidjan, Côte d'Ivoire",,Abidjan,Citroen,C4,2013
Vente,11800000,hyundai tucson 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Tucson,2018
Vente,5900000,ford escape 2010,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Ford,Escape,2010
Vente,2950000,mitsubishi montero 2002,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mitsubishi,Montero,2002
Vente,20000000,cadillac xts 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Cadillac,Xts,2019
Vente,3800000,toyota avensis 2004,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Avensis,2004
Vente,6500000,hyundai accent 2016,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Accent,2016
Vente,6800000,ford focus 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Focus,2018
Vente,7900000,toyota rav4 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2010
Vente,2200000,peugeot 406 2000,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Peugeot,Peugeot 406,2000
Vente,2200000,mercedes-benz c180 2002 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mercedes,Benz,2002
Vente,6850000,toyota rav4 2008 ,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Rav4,2008
Vente,6000000,hyundai tucson 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2008
Vente,4200000,kia sportage 2007,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Kia,Sportage,2007
Vente,13500000,toyota 4runner 2014,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,4runner,2014
Vente,10800000,hyundai sonata 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Sonata,2019
Vente,9500000,mitsubishi outlander 2016 ,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Outlander,2016
Vente,24000000,hyundai santa fe 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2005
Vente,11300000,hyundai tucson 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2018
Vente,6000000,hyundai tucson 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2008
Vente,9000000,mitsubishi pajero 2009,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mitsubishi,Pajero,2009
Vente,5800000,honda accord 2010 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Honda,Accord,2010
Vente,27500000,nissan patrol 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Nissan,Patrol,2017
Vente,23500000,land rover range rover velar 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Rover range rover velar,2018
Vente,15500000,mitsubishi pajero 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Pajero,2018
Vente,33000000,mercedes-benz gle 450 amg 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2017
Vente,10800000,renault koleos 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Renault,Koleos,2019
Vente,2900000,citroen c4 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Citroen,C4,2006
Vente,12800000,kia sportage 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2019
Vente,6800000,citroen berlingo 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Citroen,Berlingo,2019
Vente,15000000,rover range rover 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Range rover,Range rover,2019
Vente,31000000,nissan patrol 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Patrol,2017
Vente,9800000,nissan qashqai 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Qashqai,2019
Vente,11800000,hyundai kona 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Kona,2019
Vente,3500000,volkswagen golf polo 2004,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Golf polo,2004
Vente,10000000,volkswagen touareg 2012,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Volkswagen,Touareg,2012
Vente,8900000,hyundai tucson 2015 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2015
Vente,19000000,toyota highlander 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Highlander,2019
Vente,6000000,lincoln mkx 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Lincoln,Mkx,2015
Vente,29000000,mercedes-benz glc 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2018
Vente,38000000,land rover range rover 2019,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Range rover,Rover range rover,2019
Vente,9900000,mercedes-benz cla-class 2016,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mercedes,Benz,2016
Vente,9800000,hyundai sonata 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Sonata,2019
Vente,13500000,mazda cx-5 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2019
Vente,10800000,mazda cx-3 2018 a1,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mazda,Mazda,2018
Vente,8900000,hyundai elantra 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Elantra,2018
Vente,24800000,mercedes-benz e200 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mercedes,Benz,2019
Vente,12800000,hyundai santa fe xl limited 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe xl limited,2017
Vente,4500000,toyota corolla 2006,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Corolla,2006
Vente,3350000,citroen c4  2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Citroen,C4,2005
Vente,2000000,bmw x5 2002,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Bmw,Bmw x5,2002
Vente,32000000,mercedes benz gle 43 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2018
Vente,4250000,kia optima 2013 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Optima,2013
Vente,16500000,toyota  land cruiser prado txl 2013,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Land cruiser,2013
Vente,5600000,renault duster 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Duster,2015
Vente,9850000,hyundai tucson 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2019
Vente,5900000,toyota corolla 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2006
Vente,4950000,toyota previa 2014,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Previa,2014
Vente,6800000,hyundai accent 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Accent,2017
Vente,11500000,toyota land cruiser 2015 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2015
Vente,3850000,mitsubishi outlander boite auto 2004,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Outlander boite auto,2004
Vente,12500000,kia sportage 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Sportage,2019
Vente,5000000,mercedes-benz gla-class 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2015
Vente,2850000,toyota corolla 2011 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2011
Vente,2850000,toyota  corolla 2011 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2011
Vente,25800000,toyota land cruiser 2015 ,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Land cruiser,2015
Vente,6000000,kia optima 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Optima,2014
Vente,3900000,honda accord 2005,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Honda,Accord,2005
Vente,14000000,honda cr-v 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v,2019
Vente,8800000,mitsubishi outlander sport 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Outlander sport,2017
Vente,7800000,hyundai elantra 2018,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Hyundai,Elantra,2018
Vente,3300000,mercedes benz c280 2004,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mercedes,Benz,2004
Vente,36000000,maserati levante 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Maserati,Levante,2018
Vente,38000000,rover range velar p380 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Rover,Range velar p380,2019
Vente,1900000,peugeot 206 2003,"Abidjan, Côte d'Ivoire",,Abidjan,Peugeot,206,2003
Vente,25000000,lexus us 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Lexus,Us,2019
Vente,26000000,audi a5 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Audi,A5,2019
Vente,10500000,audi q5 2010,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Audi,Q5,2010
Vente,8950000,hyundai santa fe 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2015
Vente,23000000,bmw serie 320 2010,"Abidjan, Côte d'Ivoire",,Abidjan,Bmw,Serie 320,2010
Vente,35000000,mercedes benz glc 43 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2018
Vente,7900000,toyota corolla s 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Corolla,2017
Vente,13500000,mitsubishi montero 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Montero,2019
Vente,2700000,toyota avensis 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Avensis,2005
Vente,16000000,kia stringer 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Stringer,2019
Vente,4850000,hyundai tucson 2007 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2007
Vente,11500000,mercedes-benz gl 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,7950000,kia forte 2017 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Forte,2017
Vente,14700000,toyota land cruiser 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,5950000,bmw x6 m 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X6 m,2008
Vente,9900000,hyundai santa fe sport 2.0t awd 2018 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Hyundai,2018
Vente,8950000,chevrolet equinox 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Chevrolet,Equinox,2019
Vente,18800000,toyota land cruiser 2015 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2015
Vente,13500000,toyota chr 2019 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Chr,2019
Vente,1850000,honda civic boîte manuelle 1998,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Honda,1998
Vente,3950000,peugeot 301 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,301,2017
Vente,11950000,toyota rav4 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2017
Vente,15000000,lexus rx 350 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Lexus,Rx 350,2019
Vente,14500000,mercedes-benz 4matic 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2019
Vente,9000000,mazda cx-5 2015,"Abidjan, Côte d'Ivoire",,Abidjan,Mazda,Mazda,2015
