type_transaction,prix_location,devise_location,prix_vente,description,localisation
,,,6 300 000CFA,Opel vivaro 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 950 000CFA,Toyota Rav4 2018,"Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,Toyota Avensis 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 900 000CFA,Toyota Yaris 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 800 000CFA,Peugeot 405 2004,"Koumassi, Abidjan, Côte d'Ivoire"
,,,7 700 000CFA,Hyundai Elantra 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,854 795,CFA/mois *,17 400 000CFA,Kia Sportage 2021,"Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Hyundai Tucson htrac 2020,"Abidjan, Côte d'Ivoire"
A partir de,238 757,CFA/mois *,3 900 000CFA,Suzuki Swift  2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA,Ford f150 lariat 75th birthday 2023,"Abidjan, Côte d'Ivoire"
A partir de,320 896,CFA/mois *,5 700 000CFA,Suzuki Dzire 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA,Tesla Roadster 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 750 000CFA,PEUGEOT 308 ANNÉE 2014 FULL OPTIONS ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 201 601,CFA/mois *,25 000 000CFA,Toyota Highlander 2022,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 749 190,CFA/mois *,37 000 000CFA,Honda Z  2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Hyundai Tucson htrac 2020,"Abidjan, Côte d'Ivoire"
,,,5 950 000CFA,Volkswagen Touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,996 255,CFA/mois *,20 500 000CFA,Cadillac Escalade 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Kia Sorento 2019 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 000 000CFA,Mercedes-benz C400 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 900 000CFA,Peugeot 3008 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Mitsubishi Eclipse Cross  2019,"Abidjan, Côte d'Ivoire"
,,,4 350 000CFA,Kia Rio Berline 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 400 000CFA,Toyota Verossa 2002,"Koumassi, Abidjan, Côte d'Ivoire"
,,,5 950 000CFA,Volkswagen Touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 950 000CFA,Volkswagen Touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 950 000CFA,Volkswagen Touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire"
,,,25 000 000CFA,Toyota Land Cruiser 2015 ,"Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Mazda CX-5 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Mazda CX-5 2016,"Cocody, Abidjan, Côte d'Ivoire"
