type_transaction,prix_location,devise_location,prix_vente,description,localisation
,,,6 000 000CFA,Audi A6 2012,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 000 000CFA,Kia Sportage 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 800 000CFA,Mitsubishi Montero sport 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,17 000 000CFA,Mercedes-Benz C-Class 2019,"Angré, Abidjan, Côte d'Ivoire"
A partir de,676 828,CFA/mois *,13 500 000CFA,Hyundai Tucson 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 589 476,CFA/mois *,33 500 000CFA,Range Rover Sport 2020,"Abidjan, Côte d'Ivoire"
A partir de,1 379 567,CFA/mois *,28 900 000CFA,Honda CR-V 6 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,330 022,CFA/mois *,5 900 000CFA,Renault Logan 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 500 000CFA,Mercedes-benz ML350 4matic  2005,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 300 000CFA,Chevrolet Cruze 2019,"Abidjan, Côte d'Ivoire"
A partir de,918 680,CFA/mois *,18 800 000CFA,Mazda CX-5 2020,"Abidjan, Côte d'Ivoire"
A partir de,368 810,CFA/mois *,6 750 000CFA,Suzuki Swift 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 850 000CFA,Toyota Corolla 2011 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 900 000CFA,Mazda CX-9 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,17 000 000CFA,Kia  Sorento 2019,"Angré, Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,Land Rover Range Rover sport 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Hyundai Tucson 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,699 645,CFA/mois *,14 000 000CFA,Hyundai Tucson   2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Mitsubishi Eclipse 2020,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,2 433 676,CFA/mois *,52 000 000CFA,Land Rover Range Rover sport 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 850 000CFA,Superbe mazda Tribute 2010 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,8 046 461,CFA/mois *,175 000 000CFA,Range Rover Sport P530 année 2025,"Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Kia Sportage 2022,"Abidjan, Côte d'Ivoire"
,,,15 800 000CFA,HYUNDAI Santa Fe 2019,"Abidjan, Côte d'Ivoire"
,,,13 000 000CFA,Honda CR-V 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Toyota Highlander 2008,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Toyota Rav4 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Kia K2700 2018,"Yopougon, Abidjan, Côte d'Ivoire"
,,,2 900 000CFA,Citroën C4 2006,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 375 004,CFA/mois *,28 800 000CFA,Ford Explorer 2021,"Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Peugeot 3008 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,17 500 000CFA,Jaguar XS  2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 850 000CFA,Toyota Corolla 2008,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Kia Sportage 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Peugeot 2008 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 900 000CFA,Hyundai Accent 2017,"Yopougon, Abidjan, Côte d'Ivoire"
,,,8 750 000CFA,Kia Sportage 2017 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 900 000CFA,Honda CRV 2003,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 350 000CFA,Kia Rio Berline 2015 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Toyota Hilux 2021,"Yopougon, Abidjan, Côte d'Ivoire"
,,,4 800 000CFA,Toyota Corolla 2006,"Abidjan, Côte d'Ivoire"
A partir de,288 953,CFA/mois *,5 000 000CFA,Suzuki S-presso 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 550 000CFA,Hyundai Tucson 2018,"Yopougon, Abidjan, Côte d'Ivoire"
,,,9 850 000CFA,Hyundai Santafé présidentielle 2018 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 850 000CFA,Hyundai Santafé présidentielle 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 612 293,CFA/mois *,34 000 000CFA,Audi Q3 35tfsi 2021,"Abidjan, Côte d'Ivoire"
,,,9 850 000CFA,Hyundai Santafé  2018 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Mazda CX-5 2022,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Honda Ridgeline 2008,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 114 249,CFA/mois *,45 000 000CFA,Jeep Wrangler 2024,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,Honda CRV - 6 2024,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Honda Ridgeline 2008,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,654 012,CFA/mois *,13 000 000CFA,Kia Sportage 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 800 000CFA,Toyota prado 2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,644 886,CFA/mois *,12 800 000CFA,Mitsubishi RVR 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,494 299,CFA/mois *,9 500 000CFA,Renault Duster 2023,"Marcory, Abidjan, Côte d'Ivoire"
A partir de,1 292 866,CFA/mois *,27 000 000CFA,Hyundai Santa fe 2023,"Abidjan, Côte d'Ivoire"
A partir de,1 064 704,CFA/mois *,22 000 000CFA,Mercedes benz A35 AMG 2022,"Abidjan, Côte d'Ivoire"
,,,4 850 000CFA,Volkswagen Passat 2011 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Kia Sorento 2020,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 521 028,CFA/mois *,32 000 000CFA,Volvo  XC40 2023,"Abidjan, Côte d'Ivoire"
A partir de,608 380,CFA/mois *,12 000 000CFA,Ac Haval H6 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,788 628,CFA/mois *,15 950 000CFA,Mitsubishi Pajero 7 places  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Mercedes-benz CLA250 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 850 000CFA,Mazda Tribute 2010,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 700 000CFA,Renault Duster 2017 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Toyota Corolla 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Mitsubishi L200 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Hyundai Elantra 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 329 372,CFA/mois *,27 800 000CFA,Hyundai Santa Fe 2022,"Abidjan, Côte d'Ivoire"
A partir de,1 886 087,CFA/mois *,40 000 000CFA,Land Rover Defender 2021,"Abidjan, Côte d'Ivoire"
,,,15 800 000CFA,Kia Sorento 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 850 000CFA,Mercedes C280- 4 matic boite auto 2009,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 250 000CFA,BMW E-46  2002,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 500 000CFA,Honda Civic 2002,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 500 000CFA,Toyota Yaris 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 521 028,CFA/mois *,32 000 000CFA,Toyota Land Cruiser 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Hyundai Tucson IX35  2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,5 764 841,CFA/mois *,125 000 000CFA,BMW GLE 63 S 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,179 435,CFA/mois *,2 600 000CFA,Suzuki alto 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 500 000CFA,Toyota avanza 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 900 000CFA,Mitsubishi L200 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,BMW 328 2016,"Yopougon, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,BMW X4 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,918 680,CFA/mois *,18 800 000CFA,Mazda CX5 2020,"Abidjan, Côte d'Ivoire"
A partir de,1 155 969,CFA/mois *,24 000 000CFA,Acura mdx 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 794 822,CFA/mois *,38 000 000CFA,Toyota Highlander 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Ford Everest 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,585 564,CFA/mois *,11 500 000CFA,Nissan qashqai 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Suzuki Grand Vitara maison mère 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Suzuki Grand Vitara 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,882 174,CFA/mois *,18 000 000CFA,Hyundai Santa Fe 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 087 520,CFA/mois *,22 500 000CFA,Ford Edge 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,918 680,CFA/mois *,18 800 000CFA,Hyundai Santa fe 2020,"Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Mitsubishi Eclipse 2020,"Angré, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Toyota Rush  2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Toyota Rush 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,AC Haval H6  2023,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Hyundai Sonata 2017,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,6 221 165,CFA/mois *,135 000 000CFA,Land Rover Range Rover sport 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,23 500 000CFA,Land Rover Range Rover Velar  018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,644 886,CFA/mois *,12 800 000CFA,Nissan Kicks 2023,"Marcory, Abidjan, Côte d'Ivoire"
A partir de,7 590 137,CFA/mois *,165 000 000CFA,Land Rover Range Rover Vogue 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Mitsubishi Eclipse 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 800 000CFA,Mitsubishi Outlander 2013,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 900 000CFA,Peugeot 3008  2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Renault Koleos 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Toyota C-HR Hybrid 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 105 773,CFA/mois *,22 900 000CFA,Kia Sportage 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 500 000CFA,Toyota Land Cruiser Prado 7 places boite auto 2013,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 300 000CFA,Peugeot 406 phase 2 ,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,330 022,CFA/mois *,5 900 000CFA,Suzuki Swift 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,311 769,CFA/mois *,5 500 000CFA,Suzuki Super Cary 2020,"Angré, Abidjan, Côte d'Ivoire"
A partir de,740 714,CFA/mois *,14 900 000CFA,Chevrolet Camaro 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 000 000CFA,Hyundai Santa Fe 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 900 000CFA,Mazda CX-9 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 950 000CFA,Hyundai Tucson 2007,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,318 614,CFA/mois *,5 650 000CFA,Kia Pégas  2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 500 000CFA,Toyota Highlander 2010,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,318 614,CFA/mois *,5 650 000CFA,Kia Pégas  2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 500 000CFA,Toyota Land Cruiser Prado 7 places boite auto 2013,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Hyundai Santa fe 2020,"Yopougon, Abidjan, Côte d'Ivoire"
,,,3 850 000CFA,Mercedes C280- 4 Matic 2008,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Toyota Hilux 2021,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 178 785,CFA/mois *,24 500 000CFA,BMW X3 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Mercedes Benz C300 2014,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,320 896,CFA/mois *,5 700 000CFA,Kia Pégas 2022 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 800 000CFA,Kia Sportage 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,927 807,CFA/mois *,19 000 000CFA,Honda CR-V 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,603 817,CFA/mois *,11 900 000CFA,Volkswagen Passat 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 950 000CFA,BMW X6 2005,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Hyundai tucson full options  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 950 000CFA,Chevrolet Equinox 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Kia Sorento 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 500 000CFA,Kia sportage  2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Mitsubishi L200 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 950 000CFA,Chevrolet Equinox 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 600 000CFA,Volkswagen Golf polo 2004 ,"Yopougon, Abidjan, Côte d'Ivoire"
,,,12 900 000CFA,Audi Q5 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Kia Forte 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,779 501,CFA/mois *,15 750 000CFA,Hyundai Tucson 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 000 000CFA,Mitsubishi Eclipse 2019 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,Land Rover Discovery 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Mazda 3 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,38 000 000CFA,Land Rover Velar 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 300 000CFA, Citroën  2006 ,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Mitsubishi Outlander 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Honda CR-V 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,923 243,CFA/mois *,18 900 000CFA,Hyundai Tucson 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,758 967,CFA/mois *,15 300 000CFA,Haval H6 maison mère 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,462 356,CFA/mois *,8 800 000CFA,Suzuki Vitara 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,494 299,CFA/mois *,9 500 000CFA,Toyota Starlet 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,631 196,CFA/mois *,12 500 000CFA,Kia Optima 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,18 500 000CFA,Acura RDX 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,964 313,CFA/mois *,19 800 000CFA,Hyundai Tucson Htrac  2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 749 190,CFA/mois *,37 000 000CFA,Audi Q5 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,16 500 000CFA,Toyota Land Cruiser 2013,"Cocody, Abidjan, Côte d'Ivoire"
,,,33 000 000CFA,Mercedes-benz GL 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Hyundai Sonata Sport full option  2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 886 087,CFA/mois *,40 000 000CFA,Land Rover Range Rover sport 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 900 000CFA,Audi Q5 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 800 000CFA,Suzuki Vitara 2018 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 700 000CFA,Hyundai Accent 2017,"Abidjan, Côte d'Ivoire"
A partir de,375 655,CFA/mois *,6 900 000CFA,Renault Clio 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Hyundai Elantra GT 2017,"Abidjan, Côte d'Ivoire"
,,,14 500 000CFA,Mazda cx5 2018,"Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Hyundai Elantra 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Hyundai Elantra 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,831 979,CFA/mois *,16 900 000CFA,BMW X1 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Kia Sorento 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 900 000CFA,Toyota Corolla 2000,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,498 862,CFA/mois *,9 600 000CFA,Hyundai Elantra 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 000 000CFA,Mazda CX-5 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Hyundai Tucson 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,555 903,CFA/mois *,10 850 000CFA,Kia Forte 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 817 638,CFA/mois *,38 500 000CFA,Land rover Range Rover Sport 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,790 909,CFA/mois *,16 000 000CFA,Honda CR-V 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Honda CR-V 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,18 800 000CFA,Toyota Land Cruiser 2015 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 900 000CFA,Peugeot 206 2012,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Kia Sportage 2012 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,831 979,CFA/mois *,16 900 000CFA,Hyundai Santa Fe 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Honda CR-V 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 800 000CFA,Mercedes benz c230 2000,"Abidjan, Côte d'Ivoire"
A partir de,772 656,CFA/mois *,15 600 000CFA,Kia Sorento 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Hyundai Santa Fe Limited 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 900 000CFA,Mercedes-Benz C300 2008,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 200 000CFA,Nissan Qashqai 2007 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 900 000CFA,Renault Symbol 2012,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Suzuki Grand Vitara 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,786 346,CFA/mois *,15 900 000CFA,Nissan Qashqai 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Nissan Navara 2015,"Koumassi, Abidjan, Côte d'Ivoire"
,,,17 500 000CFA,Kia Sorento 2019,"Koumassi, Abidjan, Côte d'Ivoire"
,,,9 900 000CFA,Hyundai Santa Fe Limited  2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 700 000CFA,Hyundai Elantra 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 300 000CFA,Kia Sorento 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 800 000CFA,Honda CR-V5 Touring 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,599 253,CFA/mois *,11 800 000CFA,Hyundai Kona 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Suzuki Grand Vitara 2023,"Abidjan, Côte d'Ivoire"
A partir de,1 329 372,CFA/mois *,27 800 000CFA,Audi A5 Sportback S Line 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 292 866,CFA/mois *,27 000 000CFA,Toyota Prado VX 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Hyundai Tucson  2012,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 900 000CFA,Hyundai H1 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 300 000CFA,Kia Morning 2017,"Abidjan, Côte d'Ivoire"
A partir de,2 890 000,CFA/mois *,62 000 000CFA,Toyota land cruiser  2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 703 557,CFA/mois *,36 000 000CFA,Toyota 4Runner 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 475 395,CFA/mois *,31 000 000CFA,Toyota Highlander XLE Hybrid 2021,"Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Toyota Hilux 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Mazda CX-5 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 700 000CFA,Volkswagen Tiguan 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 500 000CFA,Renault Duster 2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,836 542,CFA/mois *,17 000 000CFA,Peugeot 3008 2023,"Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,BMW E46 2002,"Cocody, Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,Mitsubishi pajero 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 429 763,CFA/mois *,30 000 000CFA,Jeep Wrangler Rubicon  2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,35 000 000CFA,BMW 730 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 566 660,CFA/mois *,33 000 000CFA,Toyota Fortuner 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,20 000 000CFA,Jeep Wrangler 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,BMW X3 2024,"Abidjan, Côte d'Ivoire"
A partir de,964 313,CFA/mois *,19 800 000CFA,Mitsubishi Sportero 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,553 621,CFA/mois *,10 800 000CFA,Suzuki Vitara 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Hyundai Tucson 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,804 599,CFA/mois *,16 300 000CFA,Nissan Qashqai 2023,"Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Hyundai Kona 2022/23,"Abidjan, Côte d'Ivoire"
,,,16 500 000CFA,BMW série 4 430i gran coupe 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 110 336,CFA/mois *,23 000 000CFA,Mitsubishi montero sport 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 840 455,CFA/mois *,39 000 000CFA,Land Rover Velar P380 SE 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 400 000CFA,Hyundai Tucson 2005,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,343 712,CFA/mois *,6 200 000CFA,Suzuki Swift 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 300 000CFA,Citroen C4 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,35 000 000CFA,BMW 730 2018,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Honda CR-V 2021,"Abidjan, Côte d'Ivoire"
,,,5 500 000CFA,Hyundai Tucson 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 000 000CFA,Hyundai Santa Fe 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,1 350 000CFA,Peugeot 406 2000,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 146 842,CFA/mois *,23 800 000CFA,Ford Territory 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 900 000CFA,Mitsubishi Eclipse 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,667 702,CFA/mois *,13 300 009CFA,Kia Sportage 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 110 336,CFA/mois *,23 000 000CFA,Ford Territory 2024,"Abidjan, Côte d'Ivoire"
A partir de,1 375 004,CFA/mois *,28 800 000CFA,Hyundai Palissade 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,234 194,CFA/mois *,3 800 000CFA,Suzuki Dzire 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,649 449,CFA/mois *,12 900 000CFA,Kia Sportage 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 700 000CFA,Toyota Land Cruiser 2012,"Cocody, Abidjan, Côte d'Ivoire"
,,,16 900 000CFA,Jeep Wrangler 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 900 000CFA,Renault Koleos 2014,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,996 255,CFA/mois *,20 500 000CFA,Hyundai Tucson 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,882 174,CFA/mois *,18 000 000CFA,Toyota hilux 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 000 000CFA,Mitsubishi L200 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,16 500 000CFA,Mitsubishi Pajero 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Mercedes-Benz C400 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,553 621,CFA/mois *,10 800 000CFA,Nissan Juke 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 863 271,CFA/mois *,39 500 000CFA,Ford Ranger Wildtrak  2024,"Cocody, Abidjan, Côte d'Ivoire"
